,activity_type,date,title,distance,calories,time,avg_hr,max_hr,avg_cadence,max_cadence,avg_pace,best_pace,total_ascent,total_descent,avg_stride,moving_time,elapsed_time,min_elevation,max_elevation,temp,humidity,wind,year,month,elev_diff,pace_str,pace_min,pace_sec,avg_pace_int
30,Running,2022-05-13,Lenexa Running,3.0,279,00:26:49,162,181,164,174,8:56,4:58,62,66,1.1,00:26:31,00:28:05,951,996,79,61,10,2022,05,45,8:56,8,56,8.933333333333334
31,Running,2022-05-09,Lenexa Running,3.0,310,00:29:08,165,180,157,175,9:43,7:58,55,60,1.06,00:29:07,00:29:08,951,996,88,55,21,2022,05,45,9:43,9,43,9.716666666666667
32,Running,2022-05-06,Lenexa Running,4.0,381,00:35:25,166,179,168,174,8:51,0:53,110,117,1.08,00:35:21,00:35:41,952,1027,63,68,6,2022,05,75,8:51,8,51,8.85
33,Running,2022-04-27,Lenexa Running,3.0,274,00:26:26,162,177,164,176,8:48,8:04,54,66,1.12,00:26:26,00:26:26,951,996,73,36,17,2022,04,45,8:48,8,48,8.8
34,Running,2022-04-25,Lenexa Running,4.02,361,00:34:52,162,176,170,176,8:40,8:11,129,124,1.1,00:34:51,00:34:52,952,1015,59,39,13,2022,04,63,8:40,8,40,8.666666666666666
35,Running,2022-04-22,Lenexa Running,6.0,589,00:55:01,166,182,163,174,9:10,8:04,185,187,1.07,00:54:53,01:00:43,951,1043,79,54,23,2022,04,92,9:10,9,10,9.166666666666666
36,Running,2022-04-19,Lenexa Running,4.01,375,00:36:22,161,179,164,177,9:05,8:03,86,91,1.08,00:36:19,00:36:28,952,1015,55,28,18,2022,04,63,9:05,9,5,9.083333333333334
37,Running,2022-04-11,Lenexa Running,4.0,376,00:35:45,164,176,166,174,8:56,8:07,100,100,1.08,00:35:41,00:35:53,952,1027,66,37,9,2022,04,75,8:56,8,56,8.933333333333334
38,Running,2022-04-01,Lenexa Running,6.0,569,00:54:11,164,176,168,174,9:02,8:13,189,195,1.06,00:54:03,00:54:43,951,1043,61,36,13,2022,04,92,9:02,9,2,9.033333333333333
39,Running,2022-03-28,Lenexa Running,4.0,380,00:36:22,162,178,164,174,9:05,8:02,67,73,1.08,00:36:22,00:36:22,952,1015,55,33,16,2022,03,63,9:05,9,5,9.083333333333334
40,Running,2022-03-25,Lenexa Running,6.0,576,00:54:35,164,177,164,235,9:06,7:49,183,175,1.08,00:54:28,00:56:23,951,1043,54,32,20,2022,03,92,9:06,9,6,9.1
41,Running,2022-03-16,Lenexa Running,3.0,279,00:25:50,164,179,168,176,8:36,7:42,75,98,1.12,00:25:49,00:25:50,952,996,73,33,16,2022,03,44,8:36,8,36,8.6
42,Running,2022-03-14,Lenexa Running,3.0,260,00:25:24,158,173,168,176,8:28,7:37,56,64,1.13,00:25:11,00:26:28,952,996,55,62,8,2022,03,44,8:28,8,28,8.466666666666667
43,Running,2022-03-09,Lenexa Running,3.0,254,00:25:07,159,173,169,176,8:22,7:46,45,47,1.14,00:25:07,00:25:07,952,996,43,39,7,2022,03,44,8:22,8,22,8.366666666666667
44,Running,2022-03-02,Lenexa Running,3.0,273,00:25:43,164,180,169,174,8:34,8:10,44,49,1.11,00:25:42,00:25:52,952,996,81,16,12,2022,03,44,8:34,8,34,8.566666666666666
45,Running,2022-02-28,Lenexa Running,4.0,365,00:35:28,161,180,166,177,8:52,8:09,89,94,1.1,00:35:28,00:35:28,952,1040,63,20,6,2022,02,88,8:52,8,52,8.866666666666667
46,Running,2022-02-21,Lenexa Running,3.0,269,00:25:26,164,179,170,176,8:29,8:02,71,94,1.12,00:25:26,00:25:26,952,997,63,59,7,2022,02,45,8:29,8,29,8.483333333333333
47,Running,2022-02-14,Lenexa Running,3.01,266,00:24:39,166,181,171,177,8:12,7:41,89,84,1.15,00:24:35,00:24:43,952,996,50,25,5,2022,02,44,8:12,8,12,8.2
48,Running,2022-02-09,Lenexa Running,4.0,377,00:34:47,166,181,167,177,8:41,7:40,117,112,1.11,00:34:46,00:34:47,952,1016,54,26,17,2022,02,64,8:41,8,41,8.683333333333334
49,Running,2022-01-31,Lenexa Running,4.01,363,00:36:06,157,180,162,214,9:01,7:50,139,164,1.1,00:36:01,00:36:54,951,1027,64,18,16,2022,01,76,9:01,9,1,9.016666666666667
50,Running,2022-01-25,Lenexa Running,3.01,253,00:25:35,156,178,169,177,8:30,8:02,102,97,1.12,00:25:32,00:26:03,952,997,21,32,12,2022,01,45,8:30,8,30,8.5
