Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-06-21 16:57:41,false,"Lenexa Running","3.00","295","00:27:03","167","185","164","175","9:01","8:00","127","113","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.53.8","4","0.0","00:27:01","00:27:07","947","1,001"
Running,2022-06-17 16:07:26,false,"Lenexa Running","3.00","304","00:27:44","166","182","162","175","9:15","8:11","51","56","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:47.47.6","3","0.0","00:27:41","00:27:52","952","996"
Running,2022-06-15 16:16:50,false,"Lenexa Running","4.00","412","00:39:46","161","181","155","176","9:56","7:39","116","111","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.07.7","5","0.0","00:39:36","00:42:24","952","1,020"
Running,2022-06-10 18:17:02,false,"Lenexa Running","3.00","283","00:27:07","162","179","164","174","9:02","8:06","72","93","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.28.1","4","0.0","00:27:07","00:27:07","951","997"
Running,2022-06-08 17:01:23,false,"Lenexa Running","3.00","283","00:26:01","167","183","168","174","8:40","7:58","56","62","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:37.21.6","3","0.0","00:25:50","00:26:27","952","996"
Running,2022-06-06 17:06:43,false,"Lenexa Running","3.00","295","00:26:28","169","185","168","174","8:49","8:19","55","59","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.51.1","4","0.0","00:26:12","00:27:09","952","996"
Running,2022-05-30 16:17:39,false,"Lenexa Running","5.00","516","00:49:36","163","183","154","176","9:55","7:51","129","125","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.87.5","6","0.0","00:49:34","00:49:42","948","1,043"
Running,2022-05-25 17:00:30,false,"Lenexa Running","4.00","369","00:34:45","164","180","169","176","8:41","7:56","107","103","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:36.38","4","0.0","00:34:37","00:36:01","952","1,016"
Running,2022-05-20 16:45:36,false,"Lenexa Running","4.00","371","00:35:07","164","177","168","174","8:46","8:10","81","86","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.12","5","0.0","00:35:03","00:35:20","952","1,027"
Running,2022-05-16 17:35:29,false,"Lenexa Running","4.00","381","00:35:33","165","180","166","174","8:53","8:02","61","66","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.88.1","5","0.0","00:35:23","00:35:44","952","1,015"
